,FIPST,NCESSCH,LCITY,LZIP,G1OFFERED,G8OFFERED,G12OFFERED,NOGRADES,type_school,SCH_NAME_n_students,G01_n_students,G08_n_students,G12_n_students,TOTAL_n_students,AM_n_students,AMALM_n_students,AMALF_n_students,AS_n_students,ASALM_n_students,ASALF_n_students,HI_n_students,HIALM_n_students,HIALF_n_students,BL_n_students,BLALM_n_students,BLALF_n_students,WH_n_students,WHALM_n_students,WHALF_n_students,HP_n_students,HPALM_n_students,HPALF_n_students,TR_n_students,TRALM_n_students,TRALF_n_students,FTE,STNAM_x,LEANM_x,ALL_RLA00NUMVALID,ALL_RLA00PCTPROF,F_RLA00NUMVALID,F_RLA00PCTPROF,M_RLA00NUMVALID,M_RLA00PCTPROF,MBL_RLAHSNUMVALID,MBL_RLAHSPCTPROF,MWH_RLAHSNUMVALID,MWH_RLAHSPCTPROF,STNAM_y,LEANM_y,ALL_MTH00NUMVALID,ALL_MTH00PCTPROF,MWH_MTH00PCTPROF,MBL_MTH00PCTPROF,F_MTH00NUMVALID,F_MTH00PCTPROF,M_MTH00NUMVALID,M_MTH00PCTPROF,MBL_MTHHSNUMVALID,MBL_MTHHSPCTPROF,MWH_MTHHSNUMVALID,MWH_MTHHSPCTPROF,TOT_n_susp,TOT_OSS_rate,BLA_OSS_rate,WHI_OSS_rate,AME_OSS_times_white,ASI_OSS_times_white,HI_PAC_OSS_times_white,BLA_OSS_times_white,HIS_OSS_times_white,TWO_OSS_times_white,TOT_n_enrollment
37,45,450231000561,Greer,29651,0,0,1,0,high_school,Blue Ridge High,-2,-2,285,1148,0,0,0,5,2,3,48,27,21,45,22,23,1020,549,471,1,1,0,29,10,19,65.5,SOUTH CAROLINA,Greenville 01,210,71,96,65,114,70,9,50,179,70,SOUTH CAROLINA,Greenville 01,240,83,85,50,113,85,127,80,13,50,203,85,123,10.97,21.74,10.28,0.0,0.0,0.0,2.11,0.47,3.24,1155
38,45,450231000568,Greenville,29607,0,0,1,0,high_school,J. L. Mann High Academy,-2,-2,361,1706,1,1,0,53,26,27,146,91,55,482,231,251,976,483,493,0,0,0,48,20,28,93.8,SOUTH CAROLINA,Greenville 01,327,86,149,85,178,85,114,75,162,90,SOUTH CAROLINA,Greenville 01,296,70,75,55,125,65,171,70,124,55,120,75,153,9.39,18.33,5.03,0.0,0.0,0.0,3.64,1.63,3.38,1707
39,45,450231000560,Greenville,29617,0,0,1,0,high_school,Berea High,-2,-2,219,1025,5,3,2,8,5,3,326,183,143,314,157,157,335,168,167,1,1,0,36,19,17,68.5,SOUTH CAROLINA,Greenville 01,237,68,115,60,122,70,69,70,63,75,SOUTH CAROLINA,Greenville 01,262,85,90,80,123,85,139,80,73,80,68,90,178,17.61,27.24,13.94,2.05,0.0,0.0,1.95,0.74,2.61,1028
40,45,450231000546,Simpsonville,29681,0,1,0,0,middle,Bryson Middle,-2,324,-2,964,1,0,1,4,2,2,91,52,39,240,125,115,585,305,280,3,2,1,40,21,19,56.0,SOUTH CAROLINA,Greenville 01,978,44,469,55,509,34,0,0,0,0,SOUTH CAROLINA,Greenville 01,983,35,41,20,471,38,512,32,0,0,0,0,142,15.27,23.63,10.99,0.0,4.55,0.0,2.15,1.34,2.27,967
41,45,450231000544,Piedmont,29673,1,0,0,0,elementary,Grove Elementary,156,-2,-2,742,1,1,0,0,0,0,309,167,142,321,180,141,83,51,32,0,0,0,28,12,16,58.8,SOUTH CAROLINA,Greenville 01,360,19,151,20,209,15,0,0,0,0,SOUTH CAROLINA,Greenville 01,364,28,30,20,152,25,212,30,0,0,0,0,98,13.35,20.19,12.5,0.0,0.0,0.0,1.62,0.48,1.41,738
42,45,450231000542,Greenville,29607,1,0,0,0,elementary,Greenbrier Elementary,134,-2,-2,830,3,2,1,11,6,5,68,37,31,304,165,139,401,202,199,0,0,0,43,24,19,49.3,SOUTH CAROLINA,Greenville 01,387,41,190,45,197,35,0,0,0,0,SOUTH CAROLINA,Greenville 01,387,47,60,25,190,45,197,45,0,0,0,0,51,6.17,9.6,2.53,0.0,0.0,0.0,3.79,2.36,6.45,832
43,45,450231000541,Pelzer,29669,1,0,0,0,elementary,Ellen Woodside Elementary,113,-2,-2,664,1,1,0,9,4,5,52,24,28,131,75,56,436,238,198,0,0,0,35,15,20,38.5,SOUTH CAROLINA,Greenville 01,301,42,139,45,162,35,0,0,0,0,SOUTH CAROLINA,Greenville 01,301,50,45,40,139,50,162,45,0,0,0,0,15,2.28,6.15,1.63,0.0,0.0,0.0,3.77,0.0,0.0,663
44,45,450231000540,Greer,29650,1,0,0,0,elementary,Woodland Elementary,168,-2,-2,1055,1,1,0,49,33,16,239,129,110,131,68,63,598,290,308,0,0,0,37,21,16,60.0,SOUTH CAROLINA,Greenville 01,534,61,250,65,284,55,0,0,0,0,SOUTH CAROLINA,Greenville 01,538,70,81,35,252,70,286,70,0,0,0,0,34,3.24,9.16,2.01,0.0,0.0,0.0,4.56,1.8,2.03,1058
45,45,450231000539,Greenville,29611,1,0,0,0,elementary,Westcliffe Elementary,65,-2,-2,321,2,0,2,5,3,2,139,71,68,72,41,31,92,48,44,0,0,0,11,7,4,27.5,SOUTH CAROLINA,Greenville 01,135,50,71,50,64,45,0,0,0,0,SOUTH CAROLINA,Greenville 01,136,55,70,20,72,50,64,55,0,0,0,0,27,8.49,26.03,4.49,0.0,0.0,0.0,5.8,0.67,0.0,322
46,45,450231000536,Greenville,29611,1,0,0,0,elementary,Welcome Elementary,133,-2,-2,744,3,3,0,3,1,2,265,128,137,283,148,135,165,81,84,0,0,0,25,16,9,51.1,SOUTH CAROLINA,Greenville 01,373,24,184,20,189,20,0,0,0,0,SOUTH CAROLINA,Greenville 01,376,30,30,20,185,20,191,35,0,0,0,0,69,9.31,14.59,6.88,0.0,0.0,0.0,2.12,0.46,3.04,745
47,45,450231000962,Greenville,29611,1,1,1,0,unknown,Legacy Charter,120,99,41,1282,19,12,7,7,3,4,373,179,194,762,357,405,71,42,29,1,0,1,49,29,20,83.6,SOUTH CAROLINA,Greenville 01,705,25,372,28,333,22,49,50,2,0,SOUTH CAROLINA,Greenville 01,685,26,30,21,365,25,320,28,32,70,1,0,215,16.97,22.75,8.57,0.0,0.0,0.0,2.65,0.71,3.2,1280
